plz,Einwohner,Breitengrad,Längengrad,ChargingStations,PopulationPerStation
12347,17699,52.44865,13.42564,14.0,1179.9333333333334
12349,21692,52.4278,13.42105,5.0,3615.3333333333335
12351,19154,52.43318,13.46214,58.0,324.64406779661016
12353,31768,52.42274,13.46164,4.0,6353.6
12355,27263,52.41135,13.49789,5.0,4543.833333333333
12357,13849,52.42988,13.49113,4.0,2769.8
12359,19945,52.44888,13.45138,15.0,1246.5625
12435,16319,52.48522,13.4761,11.0,1359.9166666666667
12437,21740,52.46374,13.48786,13.0,1552.857142857143
12439,9929,52.455,13.51481,34.0,283.6857142857143
12459,18149,52.46831,13.51475,24.0,725.96
12487,18147,52.44368,13.50156,22.0,789.0
12489,15233,52.43807,13.5435,21.0,692.4090909090909
12524,25439,52.41181,13.54817,21.0,1156.3181818181818
12526,11164,52.40043,13.56627,16.0,656.7058823529412
12527,9425,52.38329,13.62731,2.0,3141.6666666666665
12529,13424,52.36587,13.49861,32.0,406.7878787878788
12555,26978,52.46063,13.57777,28.0,930.2758620689655
12557,21494,52.4289,13.58981,10.0,1954.0
12559,17643,52.41504,13.67114,3.0,4410.75
12587,17717,52.45795,13.63118,11.0,1476.4166666666667
12589,9223,52.44464,13.70812,2.0,3074.3333333333335
12619,25458,52.52428,13.58699,13.0,1818.4285714285713
12621,16074,52.50188,13.58753,35.0,446.5
12623,27373,52.49795,13.61122,82.0,329.7951807228916
12627,35353,52.53713,13.61052,16.0,2079.5882352941176
12629,13410,52.54059,13.58969,10.0,1219.090909090909
12679,25777,52.54949,13.55864,11.0,2148.0833333333335
12681,17149,52.53836,13.53457,44.0,381.0888888888889
12683,24329,52.50424,13.55755,96.0,250.81443298969072
12685,18578,52.54007,13.56169,9.0,1857.8
12687,17992,52.55662,13.56869,9.0,1799.2
12689,22446,52.56241,13.57185,14.0,1496.4
13051,21820,52.58138,13.49175,5.0,3636.6666666666665
13053,18486,52.551,13.5111,13.0,1320.4285714285713
13055,27928,52.54122,13.49656,31.0,872.75
13057,16106,52.57166,13.54647,10.0,1464.1818181818182
13059,14495,52.57968,13.52259,1.0,7247.5
13086,24110,52.55712,13.44828,10.0,2191.818181818182
13088,24071,52.55955,13.47732,11.0,2005.9166666666667
13089,6240,52.5702,13.44336,14.0,416.0
13125,31379,52.637,13.48705,18.0,1651.5263157894738
13127,19255,52.61567,13.43075,6.0,2750.714285714286
13129,6471,52.5926,13.45968,1.0,3235.5
13156,26467,52.58141,13.39953,13.0,1890.5
13158,17234,52.58964,13.36896,1.0,8617.0
13159,1759,52.62414,13.39208,1.0,879.5
13187,30146,52.56962,13.40354,8.0,3349.5555555555557
13189,25951,52.56684,13.41996,5.0,4325.166666666667
13347,27115,52.54756,13.36553,14.0,1807.6666666666667
13349,12330,52.55729,13.34946,2.0,4110.0
13351,14173,52.55125,13.33651,2.0,4724.333333333333
13353,24259,52.54278,13.3504,11.0,2021.5833333333333
13355,21464,52.54108,13.38962,18.0,1129.6842105263158
13357,25833,52.54951,13.38498,16.0,1519.5882352941176
13359,22161,52.56097,13.38671,5.0,3693.5
13403,26703,52.5751,13.31867,13.0,1907.357142857143
13405,4826,52.56031,13.29546,6.0,689.4285714285714
13407,24022,52.57212,13.34963,5.0,4003.6666666666665
13409,26581,52.56743,13.37308,7.0,3322.625
13435,17011,52.60126,13.34632,4.0,3402.2
13437,14481,52.59207,13.32456,14.0,965.4
13439,19016,52.60094,13.36618,1.0,9508.0
13465,16865,52.64276,13.2967,50.0,330.6862745098039
13467,15265,52.61452,13.31291,35.0,424.02777777777777
13469,16156,52.61124,13.33729,9.0,1615.6
13503,17113,52.61219,13.24933,0.0,17113.0
13505,6368,52.58169,13.24442,0.0,6368.0
13507,22195,52.57657,13.27429,15.0,1387.1875
13509,15967,52.59072,13.29821,32.0,483.8484848484849
13581,14355,52.53139,13.17965,30.0,463.06451612903226
13583,20761,52.54478,13.18029,10.0,1887.3636363636363
13585,20238,52.54722,13.20655,56.0,355.05263157894734
13587,20108,52.57516,13.18763,23.0,837.8333333333334
13589,21103,52.55741,13.17225,4.0,4220.6
13591,26815,52.53651,13.13983,6.0,3830.714285714286
13593,20185,52.51374,13.16939,15.0,1261.5625
13595,19966,52.51398,13.19928,10.0,1815.090909090909
13597,8490,52.52668,13.2248,18.0,446.8421052631579
13599,13720,52.54974,13.23961,30.0,442.5806451612903
13627,17126,52.53919,13.30064,2.0,5708.666666666667
13629,11830,52.54246,13.26342,15.0,739.375
14050,10170,52.52017,13.26912,8.0,1130.0
14052,11471,52.51425,13.25877,3.0,2867.75
14053,139,52.51594,13.23784,0.0,139.0
14055,10661,52.5001,13.21706,11.0,888.4166666666666
14057,12237,52.50696,13.28674,10.0,1112.4545454545455
14059,19704,52.52097,13.28851,15.0,1231.5
14089,17734,52.47087,13.15153,16.0,1043.1764705882354
14109,10049,52.4199,13.14386,23.0,418.7083333333333
14129,13834,52.44294,13.19734,36.0,373.8918918918919
14163,16361,52.43723,13.24147,32.0,495.7878787878788
14165,13956,52.41739,13.25594,13.0,996.8571428571429
14167,15485,52.42158,13.27883,10.0,1407.7272727272727
14169,17274,52.45,13.25883,17.0,959.6666666666666
14193,15505,52.48135,13.23847,3.0,3876.25
14195,14667,52.45858,13.28463,33.0,431.38235294117646
14197,17889,52.47319,13.3103,12.0,1376.076923076923
14199,13657,52.47796,13.29242,7.0,1707.125
